Proclass,Supplier,Directorate,Cost Centre,Account Code,Transaction Date,Amount
Buildings Repair & Maintenance,Hertz Electrical Contractors Ltd,Place,CPR5666 Commercial Property (exceptional items),Property Repairs & Maintenance - Minor Programmed Works,16/01/2021,2820
Buildings Repair & Maintenance,Hill Interior Contracts Ltd,Place,CPR5666 Commercial Property (exceptional items),Property Repairs & Maintenance - Minor Programmed Works,04/01/2021,1100
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,People,Housing - B&B Accommodation,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,607.86
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,904.21
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,1257
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,OPR0052 Brandon La Brandon Wood Farm Operational,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,1332.96
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,Sports Organisations,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,1646.32
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,OPR0079 Manor House Drive Registrars Office,Property Repairs & Maintenance - Minor Programmed Works,22/01/2021,2922.33
Buildings Repair & Maintenance,Install Electrical Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,05/01/2021,19252.77
Buildings Repair & Maintenance,J J Gilleran Ltd,Place,OPR0104 Woodway Lane Walsgrave Cemetery,Property Repairs & Maintenance - Minor Programmed Works,26/01/2021,1566
Buildings Repair & Maintenance,J J Gilleran Ltd,People,COVID-19 Test and Trace Service,Property Repairs & Maintenance - Minor Programmed Works,31/12/2020,528
Buildings Repair & Maintenance,J J Gilleran Ltd,Place,IDR2596 Wyken Croft Henley Grn Community Centre,Property Repairs & Maintenance - Minor Programmed Works,31/12/2020,2449
Buildings Repair & Maintenance,J J Gilleran Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,31/12/2020,4220
Buildings Repair & Maintenance,J J Gilleran Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,31/12/2020,5350
Buildings Repair & Maintenance,Jefferies Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,13/01/2021,12803.44
Buildings Repair & Maintenance,Jefferies Contractors Ltd,People,Central Family Hub,Property Repairs & Maintenance - Minor Programmed Works,24/12/2020,648.28
Buildings Repair & Maintenance,Jefferies Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,24/12/2020,1545
Buildings Repair & Maintenance,Jefferies Contractors Ltd,Place,Surveying,Property Repairs & Maintenance - Minor Programmed Works,24/12/2020,1875.82
Buildings Repair & Maintenance,Jefferies Contractors Ltd,People,OPR0122 Charter Avenue 338,Property Repairs & Maintenance - Minor Programmed Works,10/11/2020,908.5
Buildings Repair & Maintenance,Russell Trew Ltd,People,Libraries - Central Library,Property Repairs & Maintenance - Minor Programmed Works,31/12/2020,79633.2
Buildings Repair & Maintenance,TMS Projects Ltd,Place,CPR5666 Commercial Property (exceptional items),Property Repairs & Maintenance - Minor Programmed Works,15/12/2020,3314.05
Buildings Repair & Maintenance,TMS Projects Ltd,Place,CPR5666 Commercial Property (exceptional items),Property Repairs & Maintenance - Minor Programmed Works,15/12/2020,3407.3
Buildings Repair & Maintenance,W T Parker Ltd,Place,Compliance,Property Repairs & Maintenance - Minor Programmed Works,12/01/2021,943.4
Buildings Repair & Maintenance,W T Parker Ltd,Place,Compliance,Property Repairs & Maintenance - Minor Programmed Works,12/01/2021,2347.39
Buildings Repair & Maintenance,W T Parker Ltd,Place,Compliance,Property Repairs & Maintenance - Minor Programmed Works,12/01/2021,3886.68
Buildings Repair & Maintenance,W T Parker Ltd,Place,Compliance,Property Repairs & Maintenance - Minor Programmed Works,12/01/2021,7523.78
Buildings Repair & Maintenance,W T Parker Ltd,Place,Compliance,Property Repairs & Maintenance - Minor Programmed Works,12/01/2021,18876.52
Buildings Repair & Maintenance,AC Building Services Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,07/01/2021,3365
Buildings Repair & Maintenance,AC Building Services Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,07/01/2020,1444.2
Buildings Repair & Maintenance,Concept Elevators (UK) Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,19/01/2021,970.72
Buildings Repair & Maintenance,Concept Elevators (UK) Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,19/01/2021,980.8
Buildings Repair & Maintenance,Concept Elevators (UK) Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,19/01/2021,980.8
Buildings Repair & Maintenance,Concept Elevators (UK) Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,20/10/2020,525
Buildings Repair & Maintenance,Dorwingear Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,31/12/2020,6319.13
Buildings Repair & Maintenance,Hertz Electrical Contractors Ltd,Place,CPR0434 Fletchamstead Highway Ind Est 170-198,Property Repairs & Maintenance - Reactive,16/01/2021,593.3
Buildings Repair & Maintenance,Hertz Electrical Contractors Ltd,Place,Coventry City Centre Regeneration,Property Repairs & Maintenance - Reactive,18/12/2020,1475.7
Buildings Repair & Maintenance,Jones Lang LaSalle Ltd - AMAS Ltd,Place,CPR City Centre Rental Income (Low Value),Property Repairs & Maintenance - Reactive,18/02/2020,1400
"Works - Construction, Repair & Maintenance",Mercia Hardware Ltd,Place,Repair & Maintenance,Property Repairs & Maintenance - Reactive,30/11/2020,1240
Buildings Repair & Maintenance,Status Alarms Ltd,Place,Compliance,Property Repairs & Maintenance - Reactive,08/01/2021,1380.25
Buildings Repair & Maintenance,TMS Projects Ltd,Place,CPR5666 Commercial Property (exceptional items),Property Repairs & Maintenance - Reactive,15/01/2021,842.8
Buildings Repair & Maintenance,WDC Service Solutions Limited,Place,CPR0445 Parbrook Close Industrial Estate 1-9,Property Repairs & Maintenance - Reactive,18/12/2020,3077
Buildings Repair & Maintenance,B4 Fire Protection Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,29/09/2020,1510
Buildings Repair & Maintenance,B4 Fire Protection Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,28/09/2020,928
Buildings Repair & Maintenance,B4 Fire Protection Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,28/09/2020,928
Buildings Repair & Maintenance,B4 Fire Protection Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,14/09/2020,1550
Buildings Repair & Maintenance,B4 Fire Protection Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,26/08/2020,588
Buildings Repair & Maintenance,Concept Elevators (UK) Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,12/01/2021,2772
Buildings Repair & Maintenance,hsl Compliance Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,08/01/2021,2202.7
Buildings Repair & Maintenance,hsl Compliance Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,08/01/2021,7318.52
Buildings Repair & Maintenance,Time Assured Ltd,Place,Compliance,Property Repairs & Maintenance - Servicing,21/08/2020,708
Rents,Coventry Sports Foundation,People,COVID19 - Lateral Flow Testing,Rent,22/12/2020,40040
Rents,Coventry Sports Trust Ltd,People,COVID19 - Lateral Flow Testing,Rent,22/12/2020,10920
Rents,Culture Coventry Ventures Ltd,People,COVID19 - Lateral Flow Testing,Rent,23/12/2020,10920
Rents,Fitzroy House,People,LD Residential Care Placements,Rent,31/12/2020,9889.1
Rents,Fitzroy House,People,LD Residential Care Placements,Rent,13/12/2020,15383.04
Rents,Fitzroy House,People,LD Residential Care Placements,Rent,15/11/2020,15383.04
Rents,Foster Lewis & Co Ltd,People,Housing Options - Homelessness Administration,Rent,04/01/2021,950.77
Rents,Glen House Estates Ltd,Place,CPR0438 Macefield Close Industrial Estate 1-13,Rent,15/12/2020,45500
Rents,H F Hales & Sons Limited,Place,OPR5507 Widdrington Rd Bishopsgate Bus Prk 17-18,Rent,01/01/2021,1000
Rents,H F Hales & Sons Limited,Place,OPR5507 Widdrington Rd Bishopsgate Bus Prk 17-18,Rent,01/01/2021,7198.99
Rents,H F Hales & Sons Limited,Place,OPR7509 Widdrington Rd Bishopsgate Bus Prk 15-16,Rent,01/01/2021,7431.68
Rents,Indian Community Centre Association,People,COVID19 - Lateral Flow Testing,Rent,08/01/2021,6000
Rents,REDACTED PERSONAL DATA,People,LAC Permanency,Rent,12/01/2021,851.67
Rents,Whitefriars Housing Group Ltd,Place,OPR0039 Copthorne Road Copthorne Lodge,Rent,06/01/2021,7429.5
Rents,Whitefriars Housing Group Ltd,People,IPS HwC Short Term Tenancies,Rent,06/01/2021,8326.98
Rents,Willenhall Community Forum Ltd,People,COVID19 - Lateral Flow Testing,Rent,14/01/2021,5000
"Temporary Accommodation, Short Stay",Centennial Property Ltd t/a The Housing Network,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,135100
"Temporary Accommodation, Short Stay",Cornerstone Partnership Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,05/01/2021,150965.04
"Temporary Accommodation, Short Stay",County Private Client Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/12/2020,920
"Temporary Accommodation, Long Stay",Coventry Mind,People,MH Other Services,Rent - Client Accomodation,06/01/2021,812.6
"Temporary Accommodation, Long Stay",Coventry Mind,People,MH Other Services,Rent - Client Accomodation,07/12/2020,812.6
"Temporary Accommodation, Long Stay",Coventry Mind,People,MH Other Services,Rent - Client Accomodation,09/11/2020,812.6
"Temporary Accommodation, Short Stay",DeMarco Property Ltd T/A Coventry City Apartments,People,Housing - B&B Accommodation,Rent - Client Accomodation,31/12/2020,11830
"Temporary Accommodation, Long Stay",Embrace Property Ltd,People,Section17 Payments Central,Rent - Client Accomodation,05/01/2021,1395
"Temporary Accommodation, Short Stay",Embrace Property Ltd,People,Section17 Payments South,Rent - Client Accomodation,05/01/2021,1395
"Temporary Accommodation, Short Stay",Embrace Property Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,31/12/2020,40505
"Temporary Accommodation, Short Stay",Hylands Hotel Coventry,People,Housing - B&B Accommodation,Rent - Client Accomodation,16/01/2021,1366.67
"Temporary Accommodation, Short Stay",Livermore & Co Ltd T/A The Beechwood,People,Housing - B&B Accommodation,Rent - Client Accomodation,04/01/2021,3255
"Temporary Accommodation, Short Stay",M & N Estates Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,34915
"Temporary Accommodation, Short Stay",M & N Estates Ltd,People,Section17 Payments South,Rent - Client Accomodation,06/12/2020,1200
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,01/12/2020,1495
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,1860
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,01/12/2020,1860
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,2170
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,2325
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,2325
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,01/12/2020,2325
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments Central,Rent - Client Accomodation,01/12/2020,2325
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments Central,Rent - Client Accomodation,01/12/2020,2325
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,2464.5
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/12/2020,2480
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,01/12/2020,2480
"Temporary Accommodation, Short Stay",M & N Estates Ltd,People,Section17 Payments West,Rent - Client Accomodation,01/12/2020,2480
"Temporary Accommodation, Short Stay",M & N Estates Ltd,People,Section17 Payments South,Rent - Client Accomodation,01/12/2020,2790
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/11/2020,600
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/11/2020,2100
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/11/2020,2250
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments Central,Rent - Client Accomodation,01/11/2020,2250
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/11/2020,2385
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/10/2020,2170
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/09/2020,2100
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,01/09/2020,2400
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/08/2020,800
"Temporary Accommodation, Long Stay",M & N Estates Ltd,People,Section17 Payments East,Rent - Client Accomodation,01/08/2020,2170
"Temporary Accommodation, Short Stay",Mercia Management & Consultancy Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,04/01/2021,4275
"Temporary Accommodation, Short Stay",Merrick Lodge Hotel Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,1561.9
"Temporary Accommodation, Short Stay",Merrick Lodge Hotel Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,3815
"Temporary Accommodation, Long Stay",Merrick Lodge Hotel Ltd,People,Section17 Payments East,Rent - Client Accomodation,15/07/2020,1214.29
"Temporary Accommodation, Long Stay",REDACTED PERSONAL DATA,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,14/01/2021,700
"Temporary Accommodation, Long Stay",REDACTED PERSONAL DATA,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,14/01/2021,800
"Temporary Accommodation, Short Stay",REDACTED PERSONAL DATA,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,4960
"Temporary Accommodation, Short Stay",REDACTED PERSONAL DATA,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,10445
"Temporary Accommodation, Short Stay",Rent Connect Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,01/01/2021,7275
"Temporary Accommodation, Short Stay",Savera Coventry t/a Days Hotel Coventry,People,Housing - B&B Accommodation,Rent - Client Accomodation,31/12/2020,69545
"Temporary Accommodation, Short Stay",Smart Property Concepts Ltd T/A Randall Homes,People,Housing - B&B Accommodation,Rent - Client Accomodation,05/01/2021,37320
"Temporary Accommodation, Short Stay",Stamp Accommodation Service Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,04/01/2021,45375
"Temporary Accommodation, Long Stay",Stamp Accommodation Service Ltd,People,Section17 Payments Central,Rent - Client Accomodation,02/01/2021,1550
"Temporary Accommodation, Long Stay",Stamp Accommodation Service Ltd,People,Section17 Payments Central,Rent - Client Accomodation,02/01/2021,1705
"Temporary Accommodation, Long Stay",Stamp Accommodation Service Ltd,People,Section17 Payments Central,Rent - Client Accomodation,02/01/2021,1705
"Temporary Accommodation, Long Stay",Stamp Accommodation Service Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,02/01/2021,1860
"Temporary Accommodation, Short Stay",Stef & Philips Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,31/12/2020,6675
"Temporary Accommodation, Short Stay",The Salvation Army,People,Housing - B&B Accommodation,Rent - Client Accomodation,02/11/2020,1101.1
"Temporary Accommodation, Short Stay",The Salvation Army,People,Housing - B&B Accommodation,Rent - Client Accomodation,26/10/2020,1101.1
"Temporary Accommodation, Short Stay",The Salvation Army,People,Housing - B&B Accommodation,Rent - Client Accomodation,19/10/2020,1101.1
"Temporary Accommodation, Short Stay",The Salvation Army,People,Housing - B&B Accommodation,Rent - Client Accomodation,05/10/2020,1101.1
"Temporary Accommodation, Short Stay",The Salvation Army,People,Housing - B&B Accommodation,Rent - Client Accomodation,28/09/2020,1101.1
"Temporary Accommodation, Short Stay",Tri Capital Housing Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,31/12/2020,20082.15
"Temporary Accommodation, Short Stay",Warwickshire Property Partners Ltd,People,Housing - B&B Accommodation,Rent - Client Accomodation,04/01/2021,9154.35
"Temporary Accommodation, Long Stay",Whitefriars Housing Group Ltd,People,NRPF - No Recourse To Public Funds,Rent - Client Accomodation,06/01/2021,729.76
"Temporary Accommodation, Long Stay",Yourmove.co.uk Ltd,People,Section17 Payments Central,Rent - Client Accomodation,25/01/2021,1560
Housing Management,1st Lettings Property Services Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,22/12/2020,825
Housing Management,Complete Residential Lettings Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,14/01/2021,1710
Housing Management,Cozy UK Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,20/12/2020,560
Housing Management,Farberry Estates Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,22/12/2020,1292
Housing Management,Housing 21,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,19/11/2020,500.72
Housing Management,Khela Development Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,22/01/2021,1040.01
Housing Management,Khela Development Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,11/01/2021,786.76
Housing Management,Khela Development Ltd,People,Rough Sleeper and Rapid Housing Pathway Grants,Rent Bonds - Client Accomodation,02/01/2021,600
Housing Management,Khela Development Ltd,People,Rough Sleeper and Rapid Housing Pathway Grants,Rent Bonds - Client Accomodation,30/12/2020,600
Housing Management,Matthew James Property Services,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,11/01/2021,800
Housing Management,Payne Associates,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,06/01/2021,1615
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,07/01/2021,600
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,06/01/2021,1292
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,03/01/2021,660
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,23/12/2020,750
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,21/12/2020,1743.75
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,20/12/2020,798
Housing Management,REDACTED PERSONAL DATA,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,10/12/2020,1225
Housing Management,Sheba Kadir T/A Hafsa Housing Solution Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,04/12/2020,753.85
Housing Management,Yourmove.co.uk Ltd,People,Housing Options - Homelessness Administration,Rent Bonds - Client Accomodation,19/01/2021,965
Manned Guarding,G4S Fire & Security (UK),Place,CPS Brindle Avenue - 2 Binley Court,Security,16/10/2020,1850.11
Manned Guarding,G4S Secure Solutions (UK) Ltd,Place,CPS Brindle Avenue - 2 Binley Court,Security,31/12/2020,2831.35
Manned Guarding,G4S Secure Solutions (UK) Ltd,Place,CPS Brindle Avenue - 2 Binley Court,Security,16/10/2020,-1541.76
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0439 Marshbrook Close Industrial Estate 1-19,Security,23/01/2021,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0438 Macefield Close Industrial Estate 1-13,Security,23/01/2021,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0444 Redland Close Industrial Estate 1-25,Security,23/01/2021,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0447 Fullwood Close Industrial Estate 1-7,Security,23/01/2021,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0439 Marshbrook Close Industrial Estate 1-19,Security,14/12/2020,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0438 Macefield Close Industrial Estate 1-13,Security,14/12/2020,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0444 Redland Close Industrial Estate 1-25,Security,14/12/2020,1050
Manned Guarding,NDC Business Network Trust Ltd,Place,CPS0447 Fullwood Close Industrial Estate 1-7,Security,14/12/2020,1050
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,18/01/2021,736.16
Manned Guarding,SSG Support Services Group Ltd,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Security,18/01/2021,1484.28
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,18/01/2021,1508.22
Manned Guarding,SSG Support Services Group Ltd,Place,IDR07XX Broadgate House,Security,18/01/2021,1571.06
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0700 Station Square Friargate,Security,18/01/2021,1576.44
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0181 - Far Gosford Street 31,Security,18/01/2021,2010.96
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0276 London Road 259 Whitley Depot,Security,18/01/2021,2179.98
Manned Guarding,SSG Support Services Group Ltd,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Security,11/01/2021,1484.28
Manned Guarding,SSG Support Services Group Ltd,Place,IDR07XX Broadgate House,Security,11/01/2021,1571.06
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0700 Station Square Friargate,Security,11/01/2021,1576.44
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0181 - Far Gosford Street 31,Security,11/01/2021,2010.96
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,11/01/2021,2136.65
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0276 London Road 259 Whitley Depot,Security,11/01/2021,2548.26
Manned Guarding,SSG Support Services Group Ltd,Place,IDR07XX Broadgate House,Security,04/01/2021,942.64
Manned Guarding,SSG Support Services Group Ltd,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Security,04/01/2021,1484.28
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,04/01/2021,2262.33
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0700 Station Square Friargate,Security,04/01/2021,2500.56
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0181 - Far Gosford Street 31,Security,04/01/2021,2501.73
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0276 London Road 259 Whitley Depot,Security,04/01/2021,2530.44
Manned Guarding,SSG Support Services Group Ltd,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Security,29/12/2020,1053.36
Manned Guarding,SSG Support Services Group Ltd,Place,IDR07XX Broadgate House,Security,29/12/2020,1256.85
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,29/12/2020,1939.14
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0700 Station Square Friargate,Security,29/12/2020,2065.68
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0181 - Far Gosford Street 31,Security,29/12/2020,2382.03
Manned Guarding,SSG Support Services Group Ltd,Place,OPR0276 London Road 259 Whitley Depot,Security,29/12/2020,2869.02
Manned Guarding,SSG Support Services Group Ltd,People,COVID19 - Lateral Flow Testing,Security,21/12/2020,969.57
Manned Guarding,SSG Support Services Group Ltd,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Security,21/12/2020,1484.28
Security Equipment,Safetyflex Barriers Ltd,Place,Public Realm Projects,Security Equipment,07/12/2020,53957.5
Property Management,Savills (UK) Ltd - West Orchards Coventry Ltd,Place,Car Parks,Service Charges,30/11/2020,979
Property Management,Savills (UK) Ltd - West Orchards Coventry Ltd,Place,Car Parks,Service Charges,23/11/2020,50174
Consultancy,Accucities Limited,Place,Planning Policy,Services - Consultancy fees,23/12/2020,6000
Consultancy,Acivico,Place,Building Control,Services - Consultancy fees,29/09/2020,693
Consultancy,Barrow & Parker Ltd,People,Adult Ed Admin & Management,Services - Consultancy fees,15/12/2020,1800
Property Consultancy,Frankton Hill Ltd,Place,Development Services,Services - Consultancy fees,15/01/2021,975
Property Consultancy,Frankton Hill Ltd,Place,Development Services,Services - Consultancy fees,05/01/2021,631.18
Project Management Consultants,Futuregov Ltd,People,Transformation Programme Office,Services - Consultancy fees,21/12/2020,37500
ICT Consultancy,Integrated Handheld Solutions Ltd,Place,Compliance,Services - Consultancy fees,12/01/2021,2225.24
Consultancy,Matthew Stokes Education Ltd,People,Education Standards,Services - Consultancy fees,05/01/2021,3000
Consultancy,Pay Data Ltd,People,Director - People,Services - Consultancy fees,14/12/2020,3120
Consultancy,Resolution Data Management Ltd,Place,Building Control,Services - Consultancy fees,01/01/2021,1844
Debt Collection & Recovery,Bristow & Sutor,Place,Parking Enforcement,Services - Fees and Charges,01/11/2020,-2161.37
Debt Collection & Recovery,Bristow & Sutor,Place,Parking Enforcement,Services - Fees and Charges,01/11/2020,2161.37
Debt Collection & Recovery,Bristow & Sutor,Place,Parking Enforcement,Services - Fees and Charges,04/10/2020,-8949.62
Debt Collection & Recovery,Bristow & Sutor,Place,Parking Enforcement,Services - Fees and Charges,04/10/2020,8949.62
Cash Collection,Chipside Limited,Place,Car Parks,Services - Fees and Charges,31/12/2020,788.17
Waste Management,Coventry & Solihull Waste Disposal Company,Place,Waste Disposal,Services - Fees and Charges,27/12/2020,93861.05
Foster Care,Foreign Transactions,People,Adoption Allowances,Services - Fees and Charges,10/01/2021,1209.29
Burial & Cremation,Funeral Partners Ltd,Place,Funerals & Kennelling,Services - Fees and Charges,27/01/2021,694.32
Cash Collection,Metric Group Ltd,Place,Car Parks,Services - Fees and Charges,31/12/2020,1302
Cash Collection,Metric Group Ltd,Place,Car Parks,Services - Fees and Charges,30/11/2020,1302
Cash Collection,Metric Group Ltd,Place,Car Parks,Services - Fees and Charges,01/09/2020,744.48
Cash Collection,Metric Group Ltd,Place,Car Parks,Services - Fees and Charges,01/09/2020,1252.8
Cash Collection,Metric Group Ltd,Place,Car Parks,Services - Fees and Charges,01/09/2020,4417.62
Energy Efficiency,NEP Energy Services Ltd,Place,Corporate Property Management,Services - Fees and Charges,22/12/2020,630
Debt Collection & Recovery,Patrol,Place,Parking Enforcement,Services - Fees and Charges,18/12/2020,979.8
Foster Care,REDACTED PERSONAL DATA,People,Adoption Allowances,Services - Fees and Charges,27/01/2021,687.42
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Services - Fees and Charges,27/01/2021,912.68
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Services - Fees and Charges,27/01/2021,684.51
Foster Care,REDACTED PERSONAL DATA,People,Adoption Allowances,Services - Fees and Charges,27/01/2021,713.23
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Services - Fees and Charges,27/01/2021,538.62
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Services - Fees and Charges,27/01/2021,604.18
